Slide ID,Object Group,order,size,diameter,radius,average_shortest_path_length,density,graph_clique_number,graph_number_of_cliques,transitivity,local_efficiency,global_efficiency,degree_avg,degree_min,degree_max,degree_qt95,degree_qt75,degree_qt66,degree_qt50,degree_qt33,degree_qt20,degree_qt10,degree_qt05,clustering_avg,clustering_min,clustering_max,clustering_qt95,clustering_qt75,clustering_qt66,clustering_qt50,clustering_qt33,clustering_qt20,clustering_qt10,clustering_qt05,triangles_avg,triangles_min,triangles_max,triangles_qt95,triangles_qt75,triangles_qt66,triangles_qt50,triangles_qt33,triangles_qt20,triangles_qt10,triangles_qt05,degree_centrality_avg,degree_centrality_min,degree_centrality_max,degree_centrality_qt95,degree_centrality_qt75,degree_centrality_qt66,degree_centrality_qt50,degree_centrality_qt33,degree_centrality_qt20,degree_centrality_qt10,degree_centrality_qt05,closeness_centrality_avg,closeness_centrality_min,closeness_centrality_max,closeness_centrality_qt95,closeness_centrality_qt75,closeness_centrality_qt66,closeness_centrality_qt50,closeness_centrality_qt33,closeness_centrality_qt20,closeness_centrality_qt10,closeness_centrality_qt05
wsi_001_stratifiad,Neuritic plaques,58,146,9,5,3.8342407743496674,0.08832425892316999,3,89,0.4070121951219512,0.7178609547267181,0.348038919136926,5.0344827586206895,2.0,9.0,7.0,6.0,6.0,5.0,4.0,4.0,3.0,2.0,0.4974548440065681,0.25,1.0,1.0,0.5,0.5,0.5,0.4,0.36000000000000004,0.3333333333333333,0.3261904761904762,4.603448275862069,1.0,9.0,7.0,6.0,6.0,5.0,4.0,3.0,2.0,1.0,0.08832425892316999,0.03508771929824561,0.15789473684210525,0.12280701754385964,0.10526315789473684,0.10526315789473684,0.08771929824561403,0.07017543859649122,0.07017543859649122,0.05263157894736842,0.03508771929824561,0.26710987976023337,0.1716867469879518,0.35625,0.340211038961039,0.2972755977762185,0.2878787878787879,0.260279399499583,0.2425531914893617,0.2344218797836514,0.2163350201561026,0.20811768876285006
wsi_002_stratifiad,Neuritic plaques,68,183,9,5,3.924056189640035,0.08033362598770852,4,112,0.4116279069767442,0.7080450513538751,0.33689012918600836,5.382352941176471,2.0,8.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,0.4738795518207283,0.2857142857142857,1.0,0.6666666666666666,0.5,0.5,0.4,0.4,0.38857142857142857,0.3333333333333333,0.30238095238095236,5.205882352941177,1.0,8.0,7.649999999999999,6.0,6.0,5.0,5.0,4.0,3.0,2.35,0.0803336259877085,0.029850746268656716,0.11940298507462686,0.1044776119402985,0.08955223880597014,0.08955223880597014,0.07462686567164178,0.07462686567164178,0.05970149253731343,0.05970149253731343,0.04477611940298507,0.25865156231597797,0.2012012012012012,0.3284313725490196,0.3058792394869027,0.28180955926674467,0.2753434977175111,0.26171875,0.24482411343725213,0.22851551579535925,0.21413003663003663,0.20705295950155764
wsi_003_stratifiad,Neuritic plaques,50,125,9,5,3.5706122448979594,0.10204081632653061,3,76,0.40714285714285714,0.7180735449735451,0.37192452218983096,5.0,2.0,10.0,7.549999999999997,5.75,5.0,5.0,4.0,4.0,3.0,3.0,0.49520634920634926,0.2222222222222222,1.0,0.6666666666666666,0.625,0.5,0.5,0.4,0.3866666666666667,0.3333333333333333,0.30714285714285716,4.56,1.0,10.0,7.549999999999997,5.0,5.0,4.0,4.0,3.0,2.0,2.0,0.10204081632653061,0.04081632653061224,0.2040816326530612,0.15408163265306116,0.1173469387755102,0.1020408163265306,0.1020408163265306,0.08163265306122448,0.08163265306122448,0.061224489795918366,0.061224489795918366,0.2875185965836123,0.1952191235059761,0.4083333333333333,0.3539229485976436,0.327770123116583,0.30185058951248456,0.28654970760233917,0.2702279202279202,0.23879232772910253,0.23113207547169812,0.22790697674418606
wsi_004_stratifiad,Neuritic plaques,94,250,11,7,4.7421642644703725,0.057195149851292613,3,157,0.4022203245089667,0.702082911178656,0.28620411719245115,5.319148936170213,3.0,8.0,7.349999999999994,6.0,6.0,5.0,5.0,4.0,3.0,3.0,0.463272543059777,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.4,0.3333333333333333,0.3333333333333333,0.2857142857142857,5.01063829787234,2.0,8.0,7.349999999999994,6.0,6.0,5.0,4.0,3.6000000000000014,2.0,2.0,0.0571951498512926,0.03225806451612903,0.08602150537634409,0.07903225806451607,0.06451612903225806,0.06451612903225806,0.05376344086021506,0.05376344086021506,0.043010752688172046,0.03225806451612903,0.03225806451612903,0.21467036445301546,0.15474209650582363,0.25977653631284914,0.25091097836380855,0.23649106831479833,0.2325,0.22142982669969785,0.20217391304347826,0.18796373234273425,0.16958471943337228,0.16548042704626334
wsi_005_stratifiad,Neuritic plaques,330,932,23,12,8.749617758128396,0.017168646955881,4,599,0.3924324324324324,0.6928477919787448,0.1640894004900905,5.648484848484848,2.0,10.0,8.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,0.44956228956228955,0.2222222222222222,1.0,0.6666666666666666,0.5,0.5,0.4,0.4,0.3333333333333333,0.2857142857142857,0.2857142857142857,5.5,1.0,10.0,8.0,6.0,6.0,6.0,5.0,4.0,4.0,3.0,0.017168646955881,0.0060790273556231,0.030395136778115502,0.0243161094224924,0.0182370820668693,0.0182370820668693,0.0182370820668693,0.015197568389057751,0.015197568389057751,0.0121580547112462,0.0121580547112462,0.11691513352659491,0.07706722885921762,0.14893617021276595,0.14212279613615703,0.12894377342249447,0.12598938021861747,0.12016076535621292,0.11116123725938214,0.1014886033049919,0.09221888206027028,0.08583588745698112
wsi_006_stratifiad,Neuritic plaques,275,763,21,11,8.674240212342403,0.020252156602521568,4,483,0.4006514657980456,0.6939030887102323,0.16934306824869227,5.549090909090909,3.0,9.0,8.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,0.4509177489177489,0.2222222222222222,1.0,0.6666666666666666,0.5,0.5,0.4,0.4,0.3333333333333333,0.3333333333333333,0.2857142857142857,5.367272727272727,2.0,10.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,0.020252156602521568,0.010948905109489052,0.032846715328467155,0.029197080291970802,0.021897810218978103,0.021897810218978103,0.021897810218978103,0.01824817518248175,0.01824817518248175,0.014598540145985401,0.014598540145985401,0.1181922353174935,0.08111308466548253,0.1694495980210266,0.15018408518062945,0.13188935876797148,0.12591917080945295,0.11639762107051826,0.11005489750618921,0.1017075541371433,0.09439845144222271,0.08879128275179557
wsi_007_stratifiad,Neuritic plaques,640,1856,25,15,10.50737969483568,0.009076682316118936,4,1201,0.3867199831632116,0.6900964137101575,0.13088101346179004,5.8,2.0,11.0,8.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,0.4437227182539683,0.2,1.0,0.6666666666666666,0.5,0.5,0.4,0.4,0.3333333333333333,0.32142857142857145,0.2857142857142857,5.7421875,1.0,11.0,8.0,7.0,6.0,6.0,5.0,5.0,4.0,3.0,0.009076682316118936,0.003129890453834116,0.017214397496087636,0.012519561815336464,0.010954616588419406,0.009389671361502348,0.009389671361502348,0.00782472613458529,0.00782472613458529,0.006259780907668232,0.006259780907668232,0.09675574458558064,0.0710789766407119,0.12708830548926014,0.11581018167296497,0.10636261550827186,0.10306451612903225,0.09763925330361742,0.09088323140378325,0.08446571991223112,0.07953796687891494,0.0765159506370731
wsi_008_stratifiad,Neuritic plaques,1545,4547,34,17,14.148615792209535,0.003812230662172812,4,2969,0.3837194527974249,0.6870056938404098,0.09448632053978533,5.886084142394822,2.0,16.0,8.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,0.43788668002260234,0.13333333333333333,1.0,0.6666666666666666,0.5,0.5,0.4,0.4,0.3333333333333333,0.2857142857142857,0.2857142857142857,5.864077669902913,1.0,16.0,8.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,0.0038122306621728125,0.0012953367875647669,0.010362694300518135,0.0051813471502590676,0.004533678756476684,0.0038860103626943004,0.0038860103626943004,0.0032383419689119173,0.0032383419689119173,0.0025906735751295338,0.0025906735751295338,0.07246681391781075,0.049425397740004484,0.11059379700594513,0.09443426347487831,0.08066454208244084,0.07652783059673797,0.07036091870215093,0.06508087174728475,0.061848099635116185,0.059202914767170135,0.05714031965323447
wsi_009_stratifiad,Neuritic plaques,307,847,22,11,8.666773115326478,0.01803240297204658,4,531,0.3983463035019455,0.6973949554487018,0.16429865527112225,5.517915309446254,2.0,11.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,0.4569696499663926,0.2,1.0,0.6666666666666666,0.5,0.5,0.4,0.4,0.3333333333333333,0.3333333333333333,0.2857142857142857,5.335504885993485,1.0,11.0,8.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,0.01803240297204658,0.006535947712418301,0.03594771241830066,0.026143790849673203,0.0196078431372549,0.0196078431372549,0.016339869281045753,0.016339869281045753,0.013071895424836602,0.013071895424836602,0.013071895424836602,0.11916391209208368,0.07256343372065449,0.1795774647887324,0.1564019520851819,0.13203889026670868,0.12525583299222268,0.1175115207373272,0.11135371179039301,0.10250584410664255,0.09221311676374777,0.08457478903134148
wsi_010_stratifiad,Neuritic plaques,264,754,13,7,6.146243806890195,0.021719092061297386,4,483,0.38174807197943444,0.6979334621407135,0.20922991797735493,5.712121212121212,2.0,15.0,8.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,0.45787364991910445,0.13333333333333333,1.0,0.6666666666666666,0.5,0.5,0.48333333333333334,0.4,0.3333333333333333,0.2857142857142857,0.2857142857142857,5.625,1.0,14.0,8.0,7.0,6.0,5.0,5.0,4.0,4.0,3.0,0.021719092061297383,0.0076045627376425855,0.057034220532319393,0.030418250950570342,0.026615969581749048,0.022813688212927757,0.019011406844106463,0.019011406844106463,0.015209125475285171,0.015209125475285171,0.015209125475285171,0.16571623285982431,0.11258561643835617,0.23110720562390158,0.2056939836278897,0.17967550676243516,0.1747122031966696,0.1652530528609838,0.15633068960059218,0.14598152254249816,0.13805774278215224,0.1301529335734079
wsi_011_stratifiad,Neuritic plaques,36,89,7,4,2.925396825396825,0.14126984126984127,4,49,0.42431761786600497,0.7382593747375491,0.43591458805744393,4.944444444444445,3.0,10.0,8.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,0.5274250440917108,0.24444444444444444,1.0,0.875,0.6666666666666666,0.5111111111111111,0.5,0.4888888888888889,0.4,0.3333333333333333,0.2767857142857143,4.75,2.0,11.0,8.75,6.0,5.0,4.5,3.0,3.0,2.0,2.0,0.14126984126984124,0.08571428571428572,0.2857142857142857,0.22857142857142856,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.11428571428571428,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.35043779732842234,0.25925925925925924,0.4605263157894737,0.44871794871794873,0.3943756384065373,0.36082474226804123,0.35,0.3181818181818182,0.3017241379310345,0.2766841644794401,0.2713660037878788
wsi_012_stratifiad,Neuritic plaques,481,1373,19,10,8.408861746361746,0.011893624393624394,4,862,0.3902962644911979,0.6985266690028586,0.15458195823231916,5.708939708939709,2.0,11.0,8.0,7.0,6.0,6.0,5.0,4.0,4.0,4.0,0.4616259116259116,0.2,1.0,0.6666666666666666,0.5,0.5,0.4,0.4,0.3333333333333333,0.32142857142857145,0.2857142857142857,5.669438669438669,1.0,11.0,8.0,7.0,6.0,6.0,5.0,4.0,4.0,3.0,0.011893624393624394,0.004166666666666667,0.022916666666666665,0.016666666666666666,0.014583333333333334,0.0125,0.0125,0.010416666666666666,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.12187235891548062,0.08347826086956522,0.1889763779527559,0.15789473684210525,0.13359309768995267,0.1282051282051282,0.11925465838509317,0.11126564673157163,0.10480349344978165,0.09884678747940692,0.09580838323353294
wsi_013_stratifiad,Neuritic plaques,285,810,19,10,7.695329873980726,0.02001482579688658,4,518,0.394247458467642,0.6932048142843883,0.18016120849714518,5.684210526315789,2.0,10.0,8.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,0.44959064327485376,0.2222222222222222,1.0,0.6666666666666666,0.5,0.5,0.4,0.4,0.3333333333333333,0.3261904761904762,0.2857142857142857,5.578947368421052,1.0,10.0,8.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,0.02001482579688658,0.007042253521126761,0.035211267605633804,0.028169014084507043,0.02112676056338028,0.02112676056338028,0.02112676056338028,0.017605633802816902,0.017605633802816902,0.014084507042253521,0.014084507042253521,0.1326182167766552,0.08953341740226986,0.17761100687929957,0.16045279407947313,0.14669421487603307,0.14204738071404738,0.13556085918854416,0.12479861523339784,0.11570116019993772,0.10582013756097967,0.10085232365373614
wsi_014_stratifiad,Neuritic plaques,126,345,11,6,5.243555555555556,0.04380952380952381,4,216,0.3966646813579512,0.7022010686990845,0.2579211846354759,5.476190476190476,2.0,11.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,0.46611866969009824,0.2,1.0,0.6666666666666666,0.5,0.5,0.48333333333333334,0.4,0.3333333333333333,0.3333333333333333,0.2857142857142857,5.285714285714286,1.0,11.0,8.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,0.04380952380952382,0.016,0.088,0.064,0.048,0.048,0.04,0.04,0.032,0.032,0.024,0.1947702341703031,0.1513317191283293,0.26824034334763946,0.25214494341000365,0.21177750910348533,0.2058182791963407,0.18939567856454148,0.1741758692951947,0.17029972752043596,0.16129032258064516,0.15903385311438592
wsi_015_stratifiad,Neuritic plaques,363,1027,17,9,7.595513142474468,0.015630945314521406,4,651,0.38517386320213987,0.6988757785024026,0.17480573729651896,5.658402203856749,2.0,11.0,9.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,0.46153307971489793,0.2,1.0,0.6666666666666666,0.5,0.5,0.4666666666666667,0.4,0.3333333333333333,0.2857142857142857,0.2527777777777778,5.553719008264463,1.0,11.0,9.0,7.0,6.0,5.0,5.0,4.0,3.0,3.0,0.015630945314521406,0.0055248618784530384,0.03038674033149171,0.024861878453038673,0.019337016574585635,0.016574585635359115,0.013812154696132596,0.013812154696132596,0.011049723756906077,0.011049723756906077,0.011049723756906077,0.13456043373756188,0.0971030042918455,0.19493807215939687,0.1727348201167657,0.14830010109974504,0.14274465719795287,0.13211678832116788,0.1244988478264636,0.11587708066581306,0.10877407778126004,0.10566566530737469
